epoch,accuracy,loss,val_accuracy,val_loss
0,0.3645170331001282,1.327120304107666,0.4121037423610687,1.2797424793243408
1,0.617769181728363,1.0168675184249878,0.651296854019165,0.9620039463043213
2,0.7882645726203918,0.6161998510360718,0.6743515729904175,0.7938199639320374
3,0.8430666923522949,0.4262184500694275,0.6945244669914246,0.7773309350013733
4,0.8848602175712585,0.3301406502723694,0.6858789920806885,0.8085170388221741
5,0.9078328013420105,0.27077943086624146,0.6887608170509338,0.8557310700416565
6,0.9258233904838562,0.22144794464111328,0.680115282535553,0.9070318341255188
7,0.9443675875663757,0.17949214577674866,0.6570605039596558,0.9951205253601074
8,0.9562690258026123,0.14913760125637054,0.6541786789894104,1.0773447751998901
9,0.9557154774665833,0.14132341742515564,0.6772334575653076,1.1324669122695923
10,0.9648491740226746,0.11571084707975388,0.6714697480201721,1.1932355165481567
11,0.9654027223587036,0.10653476417064667,0.6570605039596558,1.2120370864868164
12,0.9717686176300049,0.09697049856185913,0.6599423885345459,1.2680796384811401
13,0.9703847169876099,0.09510726481676102,0.6628242135047913,1.3101452589035034
14,0.973429262638092,0.083963543176651,0.6657060384750366,1.3439652919769287
15,0.9739828109741211,0.08058281987905502,0.6570605039596558,1.4290697574615479
16,0.9759202599525452,0.07480983436107635,0.6570605039596558,1.4639363288879395
17,0.9748131632804871,0.07501950860023499,0.6599423885345459,1.4567490816116333
18,0.9745364189147949,0.07121980935335159,0.6541786789894104,1.4748729467391968
19,0.9781345129013062,0.07079167664051056,0.6743515729904175,1.4768329858779907
20,0.976473867893219,0.06476971507072449,0.6599423885345459,1.5035969018936157
21,0.9761970639228821,0.06502649188041687,0.6657060384750366,1.5324785709381104
22,0.9789648652076721,0.05633534491062164,0.6541786789894104,1.552979588508606
23,0.9781345129013062,0.060617364943027496,0.651296854019165,1.621532917022705
24,0.9784113168716431,0.058488037437200546,0.6599423885345459,1.5769867897033691
